,Unnamed: 0,OverallRating,ReviewHeader,Name,Datetime,VerifiedReview,ReviewBody,TypeOfTraveller,SeatType,Route,DateFlown,SeatComfort,CabinStaffService,GroundService,ValueForMoney,Recommended,Aircraft,Food&Beverages,InflightEntertainment,Wifi&Connectivity
547,547,4.0,"""I would need to call up to rebook""",L Ward,1st April 2021,True,Ok flight apart from they cancelled the majority of the outbound and crammed everybody on one flight. After having my return cancelled 3 times I opted for a voucher so I could rebook a new route. I had not been informed before requesting the “E-voucher” and I would need to call up to rebook (I’m in a different country and the phone tariffs are extortion). So not only was my flight cancelled 3 times I wasn’t offered an option to rebook a new flight online I was inconvenienced every step of the way.,Solo Leisure,Economy Class,Gatwick to Cancun,December 2020,2.0,4.0,3.0,1.0,no,,1.0,3.0,
3167,3167,10.0,British Airways customer review,Worcester David,19th January 2015,False,LHR-HKG-LHR in First. A brief trip to celebrate New Year in Honkers. Pleasant First class check in average Fast Track and warm welcome in the Concorde Room. Escorted to a table for 3. Excellent meal and service. My salmon tartare was nice enough and the Lamb was very tender rounded off by a sticky toffee and date pudding which was good but next time more clotted cream please. I enjoyed a couple of glasses of champagne and a nice pinot noir. Boarded at C64 escorted to my seat after a very warm personal welcome. Champagne slippers pj's and an amenity kit proffered. Crew seem excellent. They will also bring us home on New Year's day. After take off drinks (bloody mary for me) and an amuse-bouche. My friends indulged in a full meal but I just had the Cauliflower Soup which was very tasty. My friend's Profiteroles looked yummy. The crew were very attentive to us all. After being taken on a tour of the 777 by Kim I slept for 4 hours or so before indulging in a full English. Got changed before landing. An excellent flight with an excellent crew. Coming home. After a pleasant supper in the Qantas lounge we were escorted to the front of the queue and welcomed on board by our now familiar crew. Champagne settled us down and after take off my dinner was predicated with an amuse-bouche of beef carpaccio prawn and balik salmon with olive oil caviar followed by lamb washed down with a rather nice Medoc with a cheese plate conclusion. After a good night's sleep I woke to a cup of English Breakfast tea and orange juice whilst my friends had the full works. Quick disembarkation. BA at its best.,,First Class,,,4.0,5.0,,5.0,yes,,4.0,4.0,
1706,1706,5.0,"""a high cost no frills airline""",G Rawson,21st April 2017,False,"Gatwick to Pisa. Check in at Gatwick a breeze. Chaotic boarding process though. Flight took off approximately 10 minutes late. The cabin crew were exceptional and are one thing that BA have going for them. Middle seat vacant in business class but in reality no extra leg room in the seats and if the passenger in front decides to recline you have even less room. As for the catering. BA are getting this wrong. Why are they insisting on dumbing down on their once reasonable standards. I hardly call 'cheese on toast' a satisfactory meal choice. Despite calling it Croque Monsieur it is still cheese on toast what ever way you look at it ! I hope Mr Cruz reads these reviews. It is not what the customer wants. BA are turning into a high cost no frills airline. So much for their motto 'To fly to serve'. Remember Mr Cruz and Mr Walsh, there are other airlines offering a much better service.",Couple Leisure,Business Class,Gatwick to Pisa,April 2017,2.0,5.0,5.0,3.0,no,A319,1.0,,
1954,1954,1.0,"""aircraft are very old""",R Christie,5th December 2016,False,"British Airways from London to Bangkok return. If you are thinking about flying British Airways to Bangkok. Don't do it. Thai Airways or Eva Air for the same price offer a much better service (for direct flights). If you want the best go with Emirates but it's a stop over flight. I fly this route 20 times a year. Here are the key reasons why you should not fly with British Airways. From my experience I believe they overbook flights so they are always full which increases the risk of being uncomfortable and not flying. The aircraft are very old. If you ask for a snack during the flight the staff love to tell you 'Can you wait? service is in 20 mins' this has been tested a few times. They hate anyone who asks for a snack because it starts a chain reaction with other customers. The next service could be in 1 hour but they will still tell you 20 mins. Entertainment is terrible and old and you will also keep accidentally pressing the service button and light with your arm. No phone charger and no USB port. No Wifi. Seats are very old, very uncomfortable",Family Leisure,Economy Class,LHR to BKK,December 2016,2.0,2.0,4.0,2.0,no,Boeing 777,2.0,1.0,1.0
1780,1780,5.0,"""experience was a bit shoddy""",Simon Oakley,10th March 2017,False,"Flew Gatwick to San Jose, Costa Rica return with BA at a very good price of £1200 return for both of us. The flight out was a typically cramped Atlantic crossing, and my wife and I were separated and unable to sit together. The cabin crew were professional and there were lots of complimentary drink runs. The food was average at best, and lots of options ran out during the flight. On the way back the plane left 90 minutes late, the crossing was quicker at 9 hours, some time was made up, and cabin crew were very good. My main issue was that the plane did not seem to have been prepared very well. There was nothing at all in my seat pocket, not great when you are referred to safety material that should have been there, and wasn't. The catering was really disgusting though. I was served a vegetable lasagne which consisted of a suet like stodge surrounded by some runny soup. Truly horrible, and the worst long haul catering I have ever been served. I thought that the whole experience was a bit shoddy and average, such a shame that the Middle East carriers are so much better in virtually every way. Sad and disappointing.",Couple Leisure,Economy Class,San Jose to Gatwick,February 2017,3.0,4.0,4.0,5.0,yes,,1.0,3.0,
2091,2091,8.0,"""staff were professional and helpful""",Paul Rutledge,25th September 2016,False,Flew British Airways from London Heathrow to Johannesburg. We enjoyed the flight very much on the A380. We chose two seats together and it was comfortable. The inflight entertainment was good and had a fair choice. The food was ok and there were plenty of drinks to go round. Staff were professional and helpful.,Couple Leisure,Economy Class,LHR to JNB,September 2016,4.0,5.0,4.0,5.0,yes,A380,3.0,4.0,
3283,3283,10.0,British Airways customer review,Paesen Yves,20th November 2014,False,AMS-LHR-JNBJNB-LHR-AMS all flights on time very clean and new aircraft staff very friendly and nice food. LHR- JNB flights on A380 fantastic aircraft inflight entertainment very good with music and movies. I would fly British Airways definitely again.,,Economy Class,,,5.0,5.0,,5.0,yes,,5.0,5.0,
2339,2339,2.0,"""approaching a national tragedy""",Clive Drake,31st March 2016,False,"British Airways in my mind is fast approaching a national tragedy. As one who has flown them on/off for 35 years I suggest I am qualified to have a view - having travelled in all cabins including Concorde. We flew Club Europe from London Heathrow to Pisa and back this last week over the Easter break. We have a home in Italy and fly the route often. Flight out started in the North Executive lounge at LHR. It was not busy and was OK. Terrible choice of unhealthy bacon baps and similar rolls stuffed with whatever. I had some fruit - tinned fruit. Plane was a newish plane and the so called ""new"" Club Europe. Three seats - with the middle one as a ""table"". Tables are usually in front of one - not to the side. Zero legroom unless you are in row ""1"". Last month I flew the regional Business Class on Singapore Airlines, Malaysian Airlines and Vietnam Airlines. Needless to say - British Airways does not come close when it comes to seat comfort. Disgraceful. Food okay on both flights. FAs on both flights were also fine. The curtain separating the Club cabin from Economy was broken, hence we had queues for the WC stretching into the Club cabin.Its long overdue - but BA need some serious management changes to build value into their key products.",Couple Leisure,Business Class,LHR to PSA,March 2016,1.0,4.0,3.0,1.0,no,A321,3.0,,
3680,3680,6.0,British Airways customer review,C Thomas,6th May 2014,False,"I'm not normally one to whine but here goes. LHR-CDG at 0725 on a Tuesday morning via the dreaded gate A10. Plenty of ""Fast Track"" signage and we fast trackers were herded through the checkpoint onto a bus where we waited until we were joined by all the other passengers! Outstanding! Flight OK (fairly grubby ex BD A320) but the pointlessness of a non fast Fast Track amused me no end.",,Economy Class,,,3.0,3.0,,3.0,yes,,3.0,1.0,
91,91,2.0,"""Check-in Desk rude and dismissive""",Jonathan Hock,26th July 2023,True,"Check-in Desk rude and dismissive. Flight late but seems the new norm. One world emerald, club world check-in. Staff uncommunicative, did not know what baggage allowance entitled to, once raised (politely) became argumentative and accusatory.",Family Leisure,Economy Class,Rhodes to Gatwick,July 2023,2.0,3.0,1.0,2.0,no,,1.0,1.0,1.0
2602,2602,3.0,"""lack of service amazed me""",R Kohn,3rd November 2015,False,"Philadelphia to Athens via Heathrow with British Airways. The lack of service amazed me since I have flown both first and business on many airlines. The Club World menu listed 2 Starter items, 3 Main choices, and 4 desserts. I chose the Grilled halloumi and portobello mushroom starter. If it was grilled, it must have been a long time before it was refrigerated. Not too good. The fillet was like a piece of old shoe leather. I will admit that it might be difficult to come up with a medium rare steak but this was bad. I was never give a choice of desserts but found a piece of pie on my tray along with the starter and steak. I was never offered coffee and had to stop an attendant and ask for some. I was not offered any after dinner drink. In short, the service was rushed and more like a coach class. It appeared that the attendants were trying to get rid of us and get us to sleep rather than serve us. I was very disappointed and would avoid British Airways business class. This was on the PHL to Heathrow segment on October 26. Service on the second leg to Athens was good.",Solo Leisure,Business Class,PHL to ATH via LHR,October 2015,3.0,1.0,4.0,2.0,no,Boeing 777,1.0,,
1289,1289,7.0,"""Boarding was disappointing""",Owen Berkeley-Hill,20th February 2018,True,"I've been flying to Bombay for the last seven years to teach there. For most of those seven years I have flown Jet, but decided to try BA this time. Terminal 5 Heathrow flowed smoothly from kerbside to the gate. Boarding was disappointing because there was no discipline in how the aircraft was boarded. Logic suggests you board from the back of the aircraft but when I questioned one of the staff, I was told they had stopped doing this over two years ago.  The flight was smooth, the seat significantly more comfortable than Jet's, the food good, and the service great. The steward who looked after my area was both friendly and authoritative. IN economy class, I can only book my seat 24 hours before takeoff. I can book the seat of my choice earlier if I wish to pay, and that was what I wanted to do with my Avios points, but you cannot.  I was told that several Executive Club members and Avios point collectors had made the same complaint, and that BA might consider allowing its customers to reserve seats with Avios points. BA, judging from this experience, does not know whether it is a full-exercise or a low-cost airline. ",Solo Leisure,Economy Class,London to Bombay,December 2017,4.0,5.0,3.0,5.0,yes,Boeing 777,4.0,4.0,
3401,3401,9.0,British Airways customer review,A Cork,1st October 2014,False,LHR-FCO. Flew out Club Europe courtesy of a reduced fare by BA. We thoroughly enjoyed the experience. The Lounge in the satellite was more relaxed than the main T5 terminal. As it was an early flight the food was fresh pastries and small bacon baguettes which were excellent. Nice way to start a journey. The flight was good. Very attentive staff on the B767. My colleagues had recently flown easyjet and hadn't flown Club before and were very complimentary about the experience. The return was economy on a new A320. Impressed with the new style seats and again was a good experience.,,Business Class,,,5.0,5.0,,5.0,yes,,4.0,1.0,
1336,1336,1.0,"""waiting on my luggage for five days""",S Brill,1st January 2018,True,"London to Tel Aviv.  I have been waiting on my luggage for five days during my trip thanks to the incompetence of British Airways. I landed in Tel Aviv and waited one hour for my bag to appear and when it didn’t, I went to the QAS counter and gave them my information. For three days, my bag was in London before reaching Tel Aviv, and then the driver didn’t bring my bag to where I was staying.",Solo Leisure,Business Class,London to Tel Aviv,December 2017,1.0,1.0,1.0,1.0,no,,,,
1344,1344,1.0,"""bad service with delayed luggage""",Francisco Massanet,19th December 2017,True,"London to Montreal. Very bad service with delayed luggage. For some reason the person at london heathrow send my suitcase under someone else's name and to a different destination. I was flying from London to Montreal and my suitcase was sent to Dublin. First guy I talked on the phone, after a week of no news at all, he told me that the suitcase was found but was left there at the airport and no further action was taken. Were they waiting for me to ask them to send it or something? In theory, he sent an email asking the airport to send my suitcase to Montreal. But after another week of no further news and website still saying suitcase is missing, I decided to call them again to find out that my suitcase, was still in Dublin. A second email, was sent to get my suitcase send it to me. A couple of days after and of course, with no news at all from them, I decided to call them back again. This time my suitcase wasn't in Dublin, it was sent to London Heathrow and they lost it again at that airport. This guy, asked me to call them back, Monday morning London time, so I did. I called back again on Monday morning, and after being about 10 minutes waiting for the guy to connect to his London team, he asked me to go to the website to add description of the items in my suitcase, when I had done that same day I placed the delayed luggage report. Don't they have all this info in file?. After telling him that I did that, first day, he then asked me to call them back in 48h again. I'm tired of going behind them like if it was my fault they lost my suitcase. No compensation was mentioned to me, even that I had to buy clothes and some other items that I already had in my suitcase. Lucky enough, this happened in my final destination and at the end of my trip, otherwise they would make my vacation quiet miserable. I understand, there is a huge number of suitcases traveling around everyday but that's no reason to let you wondering and waiting forever to get what's yours. I think this whole experience would have been much more satisfying if they showed some empathy and instead of making me wait and call them all the time, I would have get a call or email from them every once in a while following up with me. After this awful experience with their missing luggage department, I hardly doubt I will use British Airways again.",Solo Leisure,Economy Class,London to Montreal,December 2017,2.0,4.0,1.0,1.0,no,,2.0,3.0,
3623,3623,7.0,British Airways customer review,Barry Hebblethwaite,4th June 2014,False,LHR to BKK in club world over night flight. Lounge at T5 great. Nice choice of hot foods wines and snacks. Love the spa treatments. I really like the club world seats very private for sleeping. Food tasty had mushroom pasta. Good choice of films. Most of crew in club did a great job still get the odd one here and there that are surly and disinterested - make you feel as if they are doing you a favour! I always try and fly BA on the whole a great airline.,,Business Class,,,5.0,3.0,,5.0,yes,,4.0,5.0,
974,974,1.0,"""don't care about customers""",B Syms,3rd February 2019,True,"Flying last Sunday from Geneva to Piladelphia via London in business class. When I arrived at the boarding gate in London to take my flight to Philadelphia they told me that there was no sufficient business seat available! They overbooked! My choice was then either to fly ecenomy or to take the next flight! They just did not care about their customer. No phone call, no email, no indication at the lounge nothing until I was at the boarding gate. I kindly accepted to take the next flight. The plane was delayed by 1 hour due to technical issues. When I arrived at Philadelphia, no suitcase! No British Airways desk on arrival, it was late no one could help. I finally retrieve my suitcase 3 days later: broken! During these 3 days, it was impossible to get someone on the phone. On my flight back to Geneva, same issue! no sufficient business class seats available. It is clear that this company just don't care about their customers, they just care about their money !",Business,Business Class,Geneva to Philadelphia via London,February 2019,2.0,3.0,1.0,1.0,no,,1.0,1.0,
3102,3102,9.0,British Airways customer review,C Cutts,9th March 2015,False,LHR-SOF-LHR 27th Feb/2nd Mar Seat A1 on an A320 in both directions check in at T5 quick used the BA Galleries South lounge which was good as ever. Boarding on time as was departure and arrival new business seats on both aircraft which were comfortable enough. Food (Breakfast) and crew on outbound very good bags waiting once through immigration in Sofia. Return check in quick although security check was so slow the lounge in Sofia is dreadfully dull with no facilities food or drinks passengers would be better of using the general airport facilities! Departure was almost an hour late as was arrival due to weather at Heathrow; otherwise crew were great as was the lunch served.,,Business Class,,,4.0,5.0,,4.0,yes,,5.0,2.0,
2064,2064,1.0,"""I dislike them so much""",G Streater,7th October 2016,False,"London Heathrow to Geneva return. Appalling airline. The booking process is dreadful - they charge if you want to change seat in economy, I have been told they will be charging for food and drink from January, and the website very difficult to use. Their customer ""service"" via phone or email is abysmal (they are extremely rude, give completely wrong information, and I have been cut off, given wrong numbers and put through to loop messages). Whilst some of the cabin staff are lovely, many are extremely unhelpful. This week a steward refused to help me put my cabin bag in the overhead locker (the bag was not oversized, but I have a bad back at present, and I asked him very politely) - yet he outright refused though he helped other people. I flew Club class a month ago and the fold out table was filthy and even though the steward saw it he ignored the wet coffee rings and salt scattered everywhere and I had to actively ask him to clean it. Which he did, but with very bad grace. I avoid British Airways if I can, but sometimes the flight routes and times fit best with my needs. And every single time I do fly with them, I am reminded why I dislike them so much.",Couple Leisure,Economy Class,LHR to GVA,October 2016,4.0,2.0,2.0,3.0,no,,3.0,3.0,
1109,1109,10.0,"""thoroughly recommend it""",Matthew Haycock,21st August 2018,True,"London Heathrow to Singapore. Had a great experience in the Concorde Room, and Galleries First lounges in Heathrow T5. I was warmly greeted by a member of the crew, who held me aside and took me into the cockpit to meet the flight crew and have a look around, all because I expressed a slight interest, and for that I am thankful. The flight crew were very friendly and it was nice to see what goes on in the cockpit. The seat was very well presented, there was a small amenity kit, as well as a pair of pyjamas. The seat was clean with pillows, as well as ample storage space. You get a closet to hang clothes, a little compartment next to the seat, as well as the overhead bin, so I never ran out of room. The pre-departure beverage was a choice of water, orange juice, or champagne and hot towels were handed out. The flight left slightly behind schedule, but at Heathrow, this is something you expect. Very soon after take-off, the crew began serving dinner. I had already booked my meal in advance, but the choice of starters, mains and deserts, as well as the beverage menu, was very good. The meal I had was exceptionally tasty and I would have it again! Once dinner service had finished, the crew turned down the bed for me, whilst I went and changed into the comfortable pyjamas that were provided. The bed was very comfortable and at just over 6 feet tall, I did not have any issues fitting into the bed and stretching out. There were plenty of blankets and pillows available and I slept very well. When I awoke, I was offered coffee and a short while later, breakfast. The breakfast choices were continental, or cooked. I opted for the cooked option and I was not disappointed, as it was very tasty, and there was a lot of it. The inflight entertainment was good, and there was a large range of films, TV programmes/series, audio books, and kids programmes to choose from. The system was responsive and was good quality, although I did not watch any films, so I cannot speak of the sound quality. The crew served with a smile and even when I asked for a Latte, which the machine didn’t do, the crew went out of their way to make one for me which was very nice. They really made this already special experience even more special. If you want to treat yourself to BA First, I would thoroughly recommend it.",Family Leisure,First Class,London Heathrow to Singapore,July 2018,5.0,5.0,5.0,5.0,yes,A380,5.0,4.0,
1114,1114,8.0,"""improved on board experience""",Mike Palmer,15th August 2018,True,"Toronto to LHR and LGW to Toronto return in WT+. Finally, BA has moved back into it’s own lounge which has been refurbished with new furniture. However, Premium Plaza still staff and operate the lounge. Food was ok – but the drinks choices remain poor. Slick boarding and a full PE cabin on a 777. Water and juice offered on boarding but still no prosecco offered on flights TO London. (apparently 3 are loaded in London for the O/W leg but none for the return.) Friendly mixed fleet crew who offered good service. Fast bar service followed by Veggie pasta or chicken stir fry offered which was foul. salty, dry and overcooked with reheated rice and mushy vegetables. The salad is a nonsense – a few leaves and a tomato slice. Pudding was sickly chocolate sponge thing which was gross. Got a couple of hours sleep. However the IFE froze after take off due to the PA system remaining locked on and preventing the IFE from working. A reset halfway through the flight worked, though two loud renditions of Delibe’s “flower duet” burst out throughout the aircraft twice waking everyone up. The standard T&Cs and juice and the pretzel roll with cream cheese offered before landing. I continue to be amazed this breakfast is offered as so few people accept or eat it given how awful it is. (BA should be embarrassed that it’s even offered) After leaving Toronto 5 mins late, we arrived 5 early at the gate at Heathrow which was welcome along with fast bags. For the return leg, I took the seasonal LGW to Toronto flight which was a couple of hundred bucks cheaper. An upgrade to Club World was a pleasant surprise. Fast check in at LGW but slow slow slow security – even in the fast track lane. Gatwick Airport sell £5 premium experience and so the lane was full of folk paying 5 quid mixed in with BA Fast track customers. Excellent lounge once again with a good choice of food, and champagne available as a help yourself. Efficient boarding and a great reception from the Gatwick cabin crew. A fast offering of champagne (with a top up) before take off though the old safety video was still showing. The Gatwick crew remind me of long haul crew from Heathrow – more experienced, faster and a more relaxed service than mixed fleet crew at who follow service to the letter which results in a slow and impersonal service. Fast bar service once airborne, followed by the old Biz food service. Overcooked steak (again) alongside jerk chicken and a veggie option. Plenty of wine and drinks along with T&C. After a pleasant 3 hour nap, I woke to afternoon tea which was the standard old offering minus the clotted cream – off the menu due to supply issues. At the gate early and fast bags too. This club flight was weird in that its hybrid in nature and in transition to the new biz service. So new toiletries and bedding but the old menu. I hope Gatwick catches up so BA don’t (unintentionally) promote two levels of Biz service with LGW being the poor relative. On the O/W leg, premium economy was in desperate need of a revamp. The food is truly awful – both dinner and breakfast, and it really wouldn’t take much to add better food, bedding and an enhanced drink service as BA really lag behind Air Canada on this route with premium economy. I do not regard the experience as a premium economy service other than the seat. All that said, I felt that BA is regaining it’s mojo with great crew, improved on board experience (cuts reinstated) and on time performance. Long may this improvement last!",Solo Leisure,Premium Economy,Toronto to London,August 2018,3.0,5.0,4.0,3.0,yes,Boeing 777,2.0,2.0,
1229,1229,1.0,"""bumped off flight""",Daniel Lossos,25th April 2018,True,"Paid for a Vueling Airlines flight from Florence to Gatwick and bumped off flight. When called, British airways most unhelpful and told the flight had nothing to do with them even though I bought the ticket from ba.com and had one flight number BA2058. A shocking attitude towards their paying customer.",Business,Economy Class,Florence to London Gatwick,April 2018,,,,1.0,no,,,,
511,511,1.0,"""crew were so unorganised""",J Beale,5th October 2021,True,"We have flown with BA for many years and never will again where there is an alternative. Booked and paid for Club class flights. Didn't receive a meal or drinks onboard, crew were so unorganised. We were delayed on the ground for 30 minutes prior to departing so they had plenty of time to prepare but the in-flight service was delayed once up in the air. They commenced the service, albeit very slowly, then abandoned it and closed the service altogether. The crew never even had the decency to speak to us to apologise in person or even over the tannoy.  Complained to BA and received an apology by email with the usual ""we fell short of our standards"" generic speech, but no offer of any partial refund or Avios to compensate for the lack of service. ",Business,Business Class,London to Jersey,September 2021,2.0,1.0,1.0,1.0,no,,,,
1142,1142,7.0,"""pole vault over passenger's legs""",Mark Ellwood,19th July 2018,True,Bermuda to Gatwick. Usual window and Aisle seat taken. Crew friendly enough but when all meal options had cheese (including sandwiches) not good when someone cannot eat cheese. Breakfast usual offering OK but not really worth the money paid. Seats clean and comfortable just feel it is time for BA to offer seats so people do not need to pole vault over other passenger's legs to get out from the window seat in the night.,Couple Leisure,Business Class,Bermuda to Gatwick,May 2018,4.0,3.0,4.0,2.0,yes,Boeing 777-200,1.0,4.0,
