,text,label
23,"BA has a real problem with boarding it's flights. Those who get on first fill the luggage bins with 2 bags, one of which is supposed to be small and under seat only. Cabin staff don't bother implementing their own rules. Subsequent passengers mill up and down the aisle, bumping into each other, searching for space. Boarding this flight took an hour as a result of this nonsense. The incoming flight was late already so our 90 minute flight was 90 minutes late.",Boarding and Crew Experience
24,Our connecting flight from London to Glasgow was canceled and we were forced to wait 12 hours in the airport for a new flight. When we received our luggage at Glasgow we discovered that our luggage was soaking wet. My wife’s luggage contents were wet and had to be air dried.,Flights and Departures
25,"Excellent service levels, proactive crew and superb food and beverages. I found all aspects of the service to be superior to BA business class, even the new BA Club Suites. First Class felt exclusive, the dedicated crew were clearly used to working the premium cabin, enjoying their work, were proactive, friendly, very respectful and the food and beverage offering a considerable step up from business class. The seat, with sliding double doors was spacious, well designed and very comfortable.  British Airways offered a solid First Class service, from Concorde Lounge to boarding (which was actually by group number for a change) to the very warm and genuine welcome on boarding. A consistent, solid, comfortable service from start to finish and if the price was right, I would not hesitate to book First Class with British Airways again.",Boarding and Crew Experience
26,"BA standards continue to decline every time I fly with them. This time, a 45 min late departure, which seems the norm for BA, and no information from the rude and clueless boarding gate staff. The Club lounge was overcrowded, dirty and grubby and cleaning staff could not cope. How many more cutbacks is BA going to apply before they become truly low cost. As a 35 year veteran user of BA, while people complained of Alex Cruz cutting costs, the past 3 years has seen them decline very quickly under their latest CEO. One reads the occasional article about BA improving things, but I have yet to see anything substantive. There seem to be few British staff left amongst the cabin crew, so maybe time for a name change and give the flag carrier status to a proper low-cost - and sadly the staff service has declined year on year. Onboard, the catering remains poor and surprised that Do&Co can produce such rubbish meals when I have sampled their Turkish Airlines equivalent in August that was superb - guessing BA are too tight with their budget. Onboard WiFi service is a joke and should be avoided.",Lounge Experience
27,"I take comfort in reading the last ten or so reviews to see I'm not the only traveller to put in words, how absolutely abysmal British Airways are! The only reason we are stuck using this awful airline is to use up points. We booked Club Europe months ago. London to Athens, sat in row 3 and told they had run out of food options, only choice was lentil pie or green curry. Returning Athens to London Club Europe. Couldn't check in online as promised so arrived at the airport 3hrs early. To be told they had overbooked the flight and basically we were being 'bumped' to economy. This airline fails to deliver time and time again. It is a national disgrace and I implore everyone to choose an alternative. ",Entertainment and Food
28,"The airplanes and the lounges are worn out, old and broken. From Dallas to Heathrow, multiple first class seating and electronics were non functional and poorly designed. The first class seating from Heathrow to Dubrovnik was nothing more than a tray blocking the middle seat of a standard coach ticket. Very disappointed.",Entertainment and Food
29,"British Airways has confirmed itself as the worst airline in the UK. Last minute cancellation, no explanation, refusal to book with another airline “because we don’t have an arrangement with them”. What’s happened to what used to be our national airline?",Bookings and Refunds
30,"My daughter and I were denied boarding on our business class flight from Madrid to Heathrow in March 25, 2023, the first leg on our return flight to Victoria, Canada. No reason was given for the denied boarding by the check in staff at the British Airways counter in Madrid, who said they were only agents and told us to call British Airways. We were three hours early for the flight and had valid passports. After many tries we finally reached British Airways by phone, but we were told to call Expedia which had booked the flights. Expedia confirmed that we had been bumped from the flight, with no explanation as to why. Expedia then began a long process of finding alternative flights. Over the next 24 hours we had numerous calls with both Expedia and British Airways. Incredibly, the next available flights were 9 days later on April 3. This was almost unbelievable, but after many many tries it was the best we could do. Even though these were Business Class tickets. Part of the problem was that apparently rules did not allow any changes to routing for any segment of the flight. This nine day delay was a major problem for us. I had to miss work and my daughter was missing school. Further, we received no compensation from British Airways, no penalty fee, and not any reimbursement of our expenses for staying the nine extra days. After our return I began the British Airways online complaint process, and submitted all supporting documents. I received an email reply and a case reference number. And then nothing. I sent numerous follow up emails, and received no replies. It is now months later, and still I have not heard from British Airways. This is shocking, and definitely the worst airline service I have received for my thousands of flights over many decades. I am a very patient person and this is the first time I have commented on this type of forum. I think the public should be made aware of extremely poor customer service at British Airways.",Boarding and Crew Experience
31,"Despite boarding being the usual free for all at LHR with groups 1-3 being called to board all at once. Whilst those passengers who had agreed to check in a bag in at the gate, getting to board before anyone else! However, the service on board was impeccable. Superb crew, friendly, attentive, interacting with passengers and generally appearing to be enjoying their job. Like BA in the old days and at its best. Food choice and quality seems to have improved too (no beef cheeks thankfully) and even the Club kitchen appears to have returned. Old style Club seating, but is at least better, and feels less cramped, on the 787's.",Boarding and Crew Experience
32,"BA cancelled our flight and could not book us onto any flight for the next 4 days. I had to spend £5k in expenses to get us back with another airline. 2 months later I am still waiting for reimbursement and have had no response to my 3 written complaints. Even the call centre staff tell me that head office have taken down the telephone number and email for the department who deal with this, so even they cannot escalate or inquire. Utterly useless.
",Bookings and Refunds
33,"Ground and cabin crew always provide good customer service. When it comes to catering, Club Class has been reduced to what Economy was. On flight BA621, the ravioli pasta had dried out along the edges. My slice of Camembert was dried- why bother serving it? My bread roll, white olive bread, was dry. I wonder whether anyone in BA monitors that. Club class has become Economy when you get crying babies and noisy children in Club class.  Now it’s a glorified, soulless bus trip, without Britishness.",Entertainment and Food
34,The staff are very rude and not trained properly. No exceptions are made for children and elderly people. The price of the ticket is very expensive given the distance and the service is extremely extremely poor,Boarding and Crew Experience
35,Failed at all basic travel fundamentals: 1) Our flight was delayed. 2) Staff demanded that we check in our carry on luggage even though we met our carry on allowance. The fact that we have a tight bus connection was totally ignored. 3) Staff were quite unpleasant.,Boarding and Crew Experience
36,Couldn’t book in online. Arrived at check in to find we had been bumped off due to overselling. No BA staff available. Very helpful Gatwick staff got us a bus to LHR and a flight to Toulouse. Had knock in effect on our car booking and sharing as the rest of family had been able yo board original flight. Airlines should be legally stopped from selling seats twice.,Bookings and Refunds
37,"London Heathrow to Mumbai in a Boeing 787-8 in Business Class. The lounge near Terminal 5, Gate B36 at Heathrow was outstanding in its service and offerings. It provides us just the right frame to relax in before boarding as the departure was delayed by almost 2 hours. The 787-8 on our flight featured the older Club World seating. Not the best in class but comfortable enough. I hear that the new Club Suites configuration is far superior. British Airways onboard service was outstanding in every respect. All in all, a very comfortable flight. One minor irritant: for some reason this aircraft was not fitted with WiFi. We got into Mumbai at 8 am, a civilized time to arrive.",Lounge Experience
38,"Fast and friendly check in (total contrast to Gatwick). The contract lounge is comfortable and spacious with a bar and pleasant staff but you have to pay for alcohol after the one free glass of wine. Food best avoided. On board, great crew and dinner was actually good quality and substantial apart from the ""chocolate and orange pot"" that seems to appear on every flight - have they bought up the global stock? The crew were always ready to top up drinks although white wine and beers were lukewarm. The crew explained that the carts are supposed to be chilled - from experience they rarely are. Is dry ice so expensive that BA can't afford it?",Lounge Experience
39,"I'm sure that BA have gradually made their economy experience (BA Euroflyer out of Gatwick) so miserable that passengers are tempted to upgrade to the lacklustre and overpriced business class. Long wait at the biz checkin ( due to status ) and dealt with by a bored agent - OK third party, but still representing BA - who hardly spoke and avoided eye contact and was more focussed on her fingernails. Lounge was crowded and grubby but at least the staff there are pleasant and helpful On board the seats are cramped and uncomfortable and it took over two hours before crew appeared with food sales and the ""free water"" which on Gatwick services consists of a half full plastic cup rather than the luxury of a small bottle.. A fellow passenger mentioned the delay and the fact that they had no sandwiches for sale which prompted the flight attendant to say that the service was much better on Easyjet who do two service runs etc.",Lounge Experience
40,"You can buy sandwiches and crisps but don't expect a hot meal. Because the plane is a narrow body , there are no screens. Not helping matters is the fact that the BA prebooking shop for food didn't recognise the flight number, and the onboard  WiFi didn't work. ",Entertainment and Food
41,"Mexico City Airport is a zoo, but taking the late departure on BA to LHR isn't too bad. Club passengers can use the AA Admirals Lounge, which is surprisingly good and not too busy as it seems to cater to BA's club passengers only at this time of day. Lovely staff, solid food & bar, really pleasant. We flew an older 787 with the old style club seats. Seated in the front cabin (just 3 rows of club) in the window and adjecant aisle seat is really good if you travel with your partner. Come to think of it, I will really miss this old style -once cutting edge- lay-out. There is no better way to fly when you are a couple. We were in that last row of the front cabin so both window and aisle seat had unobstructed access to the aisle. Still terrible you have to pay for these seats, but it obvioulsy works and we were happy getting these seats. Flying BA when the crew is good is amazing. Service was impecable on this flight. Just the right mix of humor, service and attention. Food seemed to be good as well, but hardly touched it. I am fine sleeping in these old club world seats although bedding could be better. On time departure, smooth flight and early arrival at Heathrow. We went outside for a smoke and returned to the terminal through fast track. Security at LHR has always been terrible, but today security staff was too busy chatting among themselves so all bags went through without 'secundary' checks. We had a lovely shower at the 'spa', what a fabulous facility. The South Lounge was crazy busy and it is just a design disaster. Who ever choose the bizarre combination of furniture: what a mess! Food on offer was solid and so are the drinks. Our home stretch to Amsterdam was pretty straight forward. Lousy welcome at the door but crew recovered well and made everyone feel special with excellent bar-cart service. I love the 'double'-servings of drinks. English tea is about the worst meal concepts in the world and I really don't understand BA stuck to it through the years. No-one like the cucumber white bread things, but hey... On time landing in Amsterdam but the usual long taxi then clumsy jet bridge connection ended up with a 20 minute late arrival, why is it so hard to connect a jetbridge in Amsterdam? Flying club in BA is still wonderful. I Love it!",Lounge Experience
42,Good lounge at Cape Town. On time departure. Drinks high quality. Sound dinner service. Breakfast reasonable. Arrival lounge was good but showers cold.,Lounge Experience
43,"When I tried to check in online, I was offered an upgrade to premium economy for just under £300. I decided to take it, but then the website wouldn't allow me to choose seats or to check in. I phoned BA and was happy that the call was picked up quickly, but I was then told that because I had changed my booking, I had to check in at the airport. So we turned up three hours before the flight, only to be told that our two adjacent aisle seats in economy had been switched to the middle seats in a row of four in premium. The check-in agent was helpful but couldn't fix and suggested we try the BA desk airside. That desk was understaffed but when we did reach the front of the line, we were told to try at the boarding gate. At the gate, we finally managed to get one aisle seat and one window, not sitting together. After going through that, the flight was surprisingly good, with decent food and very good service. We flew back economy, which wasn't too bad either. The flight attendants were friendly and enthusiastic, and Emma and Daniel, who looked after us, could not have been better. I've obviously learned my lesson about late BA upgrades, but everything else was good.",Bookings and Refunds
44,"British Airways is late, their website is atrocious, and they wouldn't let me check-in until 24 hours before the flight. I have been trying for 6 hours to check in through their website, and/or find a real person to speak with. Customer service had such a thick accent I didn't think they were speaking English. ",Bookings and Refunds
45,"This is the worst experience I have ever had with any airline. I flew with British Airline on August 21st 2022. I had one checked bag that was lost at Heathrow Airport. I am aware that at that time there was a system error with the baggage belt and many travelers were affected. I filed a report for my missing bag on the same day I arrived at LAX airport, and that was on August 21st. I waited patiently for three weeks (which is the time frame to either find the bag or be eligible for a compensation). When I did not receive any update on my lost bag, I filed a claim for compensation, and that was on September 11th. Since then, I have been waiting for a response from the customer relation with no good signs of resolving the issue. I emailed them and tried to update the claim but still no response until today. I contacted the baggage team and they were not helpful and did not ease my prolonged waiting. The only way to contact customer relations is via the website and they're not even getting back to me. Every time I talk to a customer service agent, they tell me to wait some more. I have been waiting for almost three months now and my issue is not resolved yet. This whole experience was a hassle. Very unprofessional for a renowned airline like BA.",Bookings and Refunds
46,"Pisa to London Gatwick. Started return flight in the shared lounge. All very pleasant and not busy for once. Walked the tarmac to the plane as BA are too mean to pay for a skybridge anymore. Plane fairly new and a lot better than the old crate we flew out in. Took off on time. We had the front row of the business class. For once I had the meal - as it looked nice. It was a salmon salad - and I have to say it was very good indeed. My wife had a hot cheese sandwich which she said was ok. Champagne was served from the bottle, it was nice. We landed on time and closer to the terminal. Not bad for BA for once.",Lounge Experience
47,"My return British Airways flight from Dubai to LHR started badly with the worst lounge experience I have ever visited. A shared lounge for Club and First Class - in either class it is terrible. Tatty and years past a refurbishment. Given that BA has flown this route for decades, one does wonder what they are playing at. I could only enviously look at a pristine Emirates lounge across the departure hall. My wife tried the ""breakfast"" - a dried up sausage and disgusting scrambled eggs. She declared she would not give it to our dog Charlie, a cocker spaniel. The boarding gate was miles away and BA shipped us over to gate in a golf buggy. It took ages! Apparently they are installing a First lounge later this year, the same story I heard at LAX last year. The flight left on time. FAs were terrific and it seems BA rely on crew to make or break every flight nowadays. The seat was much better than outbound on a Boeing 747. Food okay - starter of ""dried"" Asian duck was fantastic. Soup very good. Grilled salmon okay - a bit dry. Wines very good and chilled properly, which is often not the case. Only four passengers in First - including my wife and I. It wasn't too bad - but there is no wow factor. Shame. ",Lounge Experience
